119-01-F_x	188.6666667	101	51	212	318	262
119-01-F_y	147.2	33	189	287	174	42
119-02-F_x	189.7	114	63	191	307	270
119-02-F_y	151.6666667	52	188	271	186	55
127-01-F_x	182.4333333	100	29	191	329	278
127-01-F_y	149.7333333	28	191	286	212	32
127-02-F_x	190.4	100	52	194	335	279
127-02-F_y	152.0666667	36	197	290	199	47
131-01-F_x	195.3666667	129	82	190	303	272
131-01-F_y	140.8333333	44	183	252	186	53
131-02-F_x	189.4333333	102	64	198	311	278
131-02-F_y	147.0333333	40	201	275	197	37
141-01-F_x	183.2333333	88	51	196	327	252
141-01-F_y	141.5666667	33	189	287	168	20
141-02-F_x	188.7333333	117	70	188	313	247
141-02-F_y	152.4333333	48	204	286	184	39
143-01-F_x	193.6333333	107	51	207	322	290
143-01-F_y	142.1	21	177	289	198	31
143-02-F_x	180.8	96	41	175	321	268
143-02-F_y	144.3666667	29	176	293	187	23
145-02-F_x	186.4	122	59	192	305	260
145-02-F_y	135.8	37	171	273	169	36
145-03-F_x	175.2	86	47	190	310	239
145-03-F_y	131.2333333	32	177	273	153	22
147-01-F_x	180.9	115	61	187	293	250
147-01-F_y	139.5	35	176	267	174	43
147-02-F_x	168.3666667	94	31	165	302	239
147-02-F_y	141.1666667	23	182	283	182	30
153-01-F_x	193.2666667	117	47	182	333	285
153-01-F_y	141.2	20	182	285	188	23
153-02-F_x	187.7333333	117	55	186	316	261
153-02-F_y	138.7	29	171	281	186	30
155-02-F_x	186.3333333	101	48	189	323	269
155-02-F_y	138.8666667	22	189	284	176	22
155-03-F_x	188.4333333	100	47	185	332	273
155-03-F_y	143.8333333	23	201	289	184	23
157-01-F_x	188.6	124	60	186	315	264
157-01-F_y	140.2	34	173	265	180	44
157-02-F_x	183.9666667	111	44	172	318	282
157-02-F_y	139.1666667	22	176	271	183	33
160-02-F_x	188.5333333	107	53	185	316	271
160-02-F_y	142.9333333	36	179	285	178	33
160-03-F_x	197	126	69	207	329	269
160-03-F_y	151.8666667	40	188	290	195	32
161-01-F_x	190.7	126	62	206	311	256
161-01-F_y	137.6666667	39	172	250	189	48
161-02-F_x	179.5666667	103	45	181	319	253
161-02-F_y	146.7	39	195	278	198	48
163-01-F_x	181.1666667	139	53	176	299	236
163-01-F_y	137.0666667	28	169	262	181	32
163-02-F_x	183.2333333	117	58	187	311	246
163-02-F_y	143.0666667	34	187	271	178	41
164-01-F_x	189.7	109	64	190	323	269
164-01-F_y	142.1333333	29	196	285	192	32
